ID_Conteudo;Titulo;Tipo_Conteudo;Genero;Duracao_Minutos;Classificacao_Indicativa;Ano_Lancamento;Avaliacao_Media_IMDb
1001;O Legado do Código;Filme;Ficcao Cientifica;145;14;2022;8.7
1002;Segredos da Floresta;Filme;Misterio;110;12;2021;7.5
1003;A Última Linha;Serie;Drama;50;16;2023;9.1
1004;A Ascensão do Dragao;Filme;Fantasia;180;10;2024;9.3
1005;Vozes da Cidade;Serie;Documentario;40;Livre;2020;8.0
1006;O Enigma da Piramide;Filme;Aventura;130;12;2023;7.9
1007;Entre Mundos;Serie;Ficcao Cientifica;55;14;2024;8.9
1008;Memórias de Outono;Filme;Romance;95;Livre;2019;7.2
1009;O Caso do Hotel;Serie;Suspense;45;16;2022;8.5
1010;Robôs na Cidade;Filme;Animacao;90;Livre;2023;8.8
1011;Crônicas Esquecidas;Serie;Fantasia;60;12;2021;8.3
1012;A Teia Invisível;Filme;Suspense;105;14;2022;8.1
1013;Marés da Vida;Serie;Drama;50;10;2023;7.8
1014;O Reino Submerso;Filme;Aventura;120;Livre;2021;8.6
1015;Sintonia Urbana;Serie;Musical;35;12;2024;8.4